Artificial intelligence Engineer,Creative problem-solving skills,Analysis of software requirements,Introduction to random processes,Digital image processing,Advanced programming,Software engineering,Artificial intelligence,Data mining,Virtualization,Parallel and distributed processing,Statistical modelling,Biologically inspired calculation,Visualization,Introduction to time series analysis,Introduction to bioinformatics,Introduction to cognitive sciences,Introduction to data science
Backend Developer,The basics of web design,Internet technologies,Advanced programming,Analysis of software requirements,Visual programming,Software engineering,Virtualization,Web programming,Service-oriented architectures,Integrated systems,Team project,Unstructured databases,Implementation of free and open source systems,Electronic and mobile trade,Distributed systems,Web-based systems,Design and architectural software
Cloud Computing Engineer,The basics of web design,Software engineering,Internet technologies,Advanced programming,Analysis of software requirements,System Administration,Advanced web design,Virtualization,Web programming,Service-oriented architectures,Implementation of free and open source systems,Distributed systems,Cloud computing,Modern computer architectures,Parallel and distributed processing,Continued integration and delivery,Infrastructure programming
Computer Scientist,Object-oriented analysis and design,Software engineering,Internet technologies,Analysis of software requirements,Algorithm design,Information theory with digital communications,Introduction to network science,Implementation of free and open source systems,Parallel and distributed processing,Built-in microprocessor systems,Statistical modelling,Basics of robotics,Formal languages and vending machines,Virtualization,Software design and architecture,Web-based systems ,Mining massive data
Data Analyst,Business statistics,Advanced programming,Software engineering,Visualization,Parallel and distributed processing,Mining massive data,Introduction to data science,Unstructured databases,Warehouse and analytical processing data,Data mining,Decision support systems ,Modelling and simulation,Measurement and analysis of internet traffic,Geographical information systems,Introduction to shape recognition,Introduction to time series analysis,Web-based systems
Data Engineer,Business statistics,Software engineering,Artificial intelligence,Algorithm design,Analysis of software requirements,Advanced programming,Virtualization,Web programming,Implementation of free and open source systems,Software design and architecture,System Administration,Advanced databases,Unstructured databases,Data warehouses and analytical processing,Distributed data storage,Data mining,Mining massive data
Data Scientist,Object-oriented analysis and design,Software engineering,Algorithm design,Basics of information theory,Artificial intelligence,Introduction to data science,Data mining,Mining massive data,Introduction to time series analysis,Machine learning,Statistical modelling,Smart information systems,Data warehouses and analytical processing,Unstructured databases,Visualization,Processing of natural languages,Introduction to shape recognition
DevOps,Object-oriented analysis and design ,Internet technologies,Basics of information theory,Software engineering,Web programming,Information security,Software design and architecture,Distributed systems,Service-oriented architectures,Ethical hacking,Computer network design,Online Administration,Data-based administration,System Administration,Virtualization,Continued integration and delivery,Infrastructure programming
Database Administrator,Object-oriented analysis and design ,Software engineering,Unstructured databases,Data-based administration,Advanced databases,Information security,Virtualization,Cloud computing,Data warehouses and analytical processing,Sharing and calculating in a crowd,Distributed data storage,Continued integration and delivery,Visualization,Introduction to network science,Infrastructure programming,Distributed systems,
Embedded Systems Developer,Computer components,Engineering mathematics,Sustainable and energy efficient computer systems,Algorithm design,Wireless and mobile systems,Machine learning,Built-in microprocessor systems,Introduction to smart cities,Internet of Things,Modern computer architectures,Built-in system software,Basics of robotics,Autonomous robotics,Process robotics,Modern trends in robotics,Wireless multimedia systems,
FrontEnd Developer,Basics of web disney,Internet technologies,User Interface Design Template,Internet programming on a client page,Analysis of software requirements,Computer graphics,Software engineering,Web programming,Web-based systems,Visualization,Implementation of free and open source systems,Human-computer interaction design,Advanced Human Interaction - Computer,Electronic and mobile trade,Computer animation,Advanced web design,
Fullstack Developer,The basics of web design,Software engineering,Analysis of software requirements,Internet technologies,Internet programming on a client page,Advanced programming,Machine learning ,Cryptography,Web programming,Advanced web design,Electronic and mobile trade,Web-based systems,Integrated systems,Human-computer interaction design,Implementation of free and open source systems,Software design and architecture,Unstructured databases
Game Developer,The basics of web design,Software engineering,Computer graphics,Engineering mathematics,Internet technologies,Internet programming on a client page,Artificial intelligence,Video game programming ,Implementation of free and open source systems,Machine learning,Advanced web design,Human-computer interaction design,Built-in microprocessor systems,Visualization,Team project,Computer animation,Virtual reality
IT Manager,Object-oriented analysis and design,Software engineering,Advanced programming,Analysis of software requirements,Media and communications,Concepts of an information society,E - government ,Web programming,Implementation of free and open source systems,Built-in microprocessor systems,IcT Project Management,Web-based systems ,Management Information Systems,Entrepreneurship,Computer ethics,Innovation in ICT,Analysis and design on IS
Machine Learning Engineer,Business statistics,Basics of information theory,Digital image processing,Introduction to random processes,Artificial intelligence,Statistical modelling,Parallel and distributed processing,Machine learning,Processing of natural languages,Introduction to time series analysis,Introduction to shape recognition,Machine vision,Linear algebra and applications ,Smart information systems,Agent-based systems ,Mining massive data,Unstructured databases
Network Engineer,The basics of cybersecurity,Internet technologies,Advanced programming,Wireless and mobile systems,Software engineering,Web programming,Implementation of free and open source systems,Information security,Network Security,Software-defined networks,Software-defined security,Optical networks,Introduction to network science,Wireless multimedia systems,Measurement and analysis of internet traffic,Cryptography ,Multimedia networks
QA Tester,The basics of web design,Software engineering,Analysis of software requirements,Advanced programming,Software quality and testing,Management Information Systems,Web programming,Advanced web design,,,,,,,,,
Software Engineer,Object-oriented analysis and disney,Internet services,Software engineering,Advanced programming,Analysis of software requirements,Information security,Network Security,Built-in microprocessor systems,Web programming,Virtualization,Software quality and testing,Integrated systems,Software design and architecture,Electronic and mobile trade,Team project,Cloud computing,Implementation of free and open source systems
System Administrator,Object-oriented analysis and design,Advanced programming,Software engineering,Analysis of software requirements,Internet technologies,Artificial intelligence,Analysis and design on IS,Web-based systems ,Ethical hacking,Software-defined networks,Software-defined security,Implementation of free and open source systems,Cloud computing,Electronic and mobile trade,Software design and architecture,Integrated systems,Virtualization
UX/UI Designer,The basics of web design,Software engineering,Advanced programming,Economy for ICT engineers,User Interface Design Templates,Computer graphics,Computer ethics,Human computer interaction design,Advanced web design,Team project,Visualization,Multimedia systems,School-age psychology,Computer animation,Advanced human computer interaction,,
